idArt,Author,Title,Abstract,Year
1,"AKHANLI P,HEPŞEN S,UÇAN B,DÜĞER H,BOSTAN H,KIZILGÜL M,SENCAR ME,ÇAKAL E",The evaluation of breast findings detected through different visualisation techniques in acromegaly patients — a retrospective study.,"Background/aim: It is known that the increased growth hormone (GH) and insulin-like growth factor-1 (IGF-1) have mitogenic and antiapoptotic properties in breast cells in acromegaly. Our study aims to evaluate breast findings in patients with acromegaly by comparing them to the control group. Materials and methods: Sixty-one patients followed with acromegaly diagnosis and 180 healthy controls were included in our study. Demographic data, laboratory results, Breast Imaging-Reporting and Data System (BI-RADS) scores, and breast density evaluated via mammography, malign and benign breast lesions evaluated via mammography, breast ultrasonography (USG), and breast magnetic resonance imaging (MRI) of patients were compared to the control group. Results: While BI-RADS scores were similar in patient and control groups, breast density in acromegaly patients was found out to be higher compared to the control group (p = 0.754, p = 0.001, respectively). In acromegaly patients, the breast calcification rate was higher than controls (p = 0.021). t was observed that mass frequency in USG in acromegaly patients increased when GH level increased as well (p = 0.021). No difference was detected between benign and malign breast lesions diagnosed histopathologically (p = 0.031, p = 0.573, respectively). There was not any difference in terms of BI-RADS scores, breast types, and breast lesions in acromegaly patients that were in remission and not in remission (p > 0.05). Conclusion: Benign and malign breast lesions were found out to be similar to the control group, although breast density rate was detected to be higher in acromegaly patients. A regular follow-up is required in these patients via suitable breast visualization techniques considering their age and clinical status due to mass formation risk derived from increased GH level and extreme breast density despite the absence of any detected breast lesion frequency in acromegaly patients.",0
2,"Zheng BW,Huang W,Liu FS,Zhang TL,Wang XB,Li J,Lv GH,Yan YG,Zou MX",Clinicopathological and Prognostic Characteristics in Spinal Chondroblastomas: A Pooled Analysis of Individual Patient Data From a Single Institute and 27 Studies.,"Study Design:: Retrospective pooled analysis of individual patient data. Objectives:: Spinal chondroblastoma (CB) is a very rare pathology and its clinicopathological and prognostic features remain unclear. Here, we sought to characterize the clinicopathological data of a large spinal CB cohort and determine factors affecting the local recurrence-free survival (LRFS) and overall survival (OS) of patients. Methods:: Electronic searches using Medline, Embase, Google Scholar and Wanfang databases were performed to identify eligible studies per predefined criteria. A retrospective review was also conducted to include additional patients at our center. Results:: Twenty-seven studies from the literature and 8 patients from our local institute were identified, yielding a total of 61 patients for analysis. Overall, there were no differences in clinicopathological characteristics between the local and literature cohorts, except for absence or presence of spinal canal invasion by tumor on imagings and chicken-wire calcification in tumor tissues. Univariate Kaplan-Meier analysis revealed that previous treatment, preoperative or postoperative neurological deficits, type of tumor resection, secondary aneurysmal bone cyst (ABC), chicken-wire calcification and radiotherapy correlated closely with LRFS, though only type of tumor resection, chicken-wire calcification and radiotherapy were predictive of outcome based on multivariate Cox analysis. Analyzing OS, we found that a history of preoperative treatment, concurrent ABC, chicken-wire calcification, type of tumor resection and adjuvant radiotherapy had a significant association with survival, whereas only type of tumor resection remained statistically significant after adjusting for other covariables. Conclusion:: These data may be helpful in prognostic risk stratification and individualized therapy decision making for patients.",2023 Apr
3,"Okasha HH,Mansor M,Sheriba N,Assem M,abd elfattah y,Ashoush OA,Rakha M,Abdelfattah D,El-Sawy SS,Elshenoufy M,Mohsen AA,Sedrak HK,Abdellatif AA",Role of elastography strain ratio and TIRADS score in predicting malignant thyroid nodule.,"Objective:: Ultrasonography (US) is the most accurate and cost-effective imaging method in diagnosis of thyroid nodules. A practical thyroid imaging reporting and data system (TIRADS) for thyroid nodules has been proposed to classify nodules of the thyroid gland to solve the problem of nodule selection for fine needle aspiration cytology (FNAC). Real-time elastography and strain ratio (SR) is a method used to assess the stiffness and predict the malignancy of thyroid nodules. The objective of this study was to assess the role of elastography and SR and the TIRADS scoring system in discriminating malignant from benign thyroid nodules. Materials and methods:: From 2015 to 2018 at Cairo University Hospital, a series of 409 patients with thyroid nodules was referred to undergo thyroid ultrasound. Categorization of each nodule according to the TIRADS ranged from 1 to 5. The qualitative elastography score and semiquantitative SR of the nodules were evaluated. Final diagnosis was done by either postthyroidectomy histopathological examination or US-guided FNAC. Results:: Our study included 409 patients with thyroid nodules. Their mean age was 39 ± 10 SD; 36 were males and 373 were females. There were 22 malignant nodules and 387 benign nodules. There were statistical differences between benign and malignant nodules regarding TIRADS classification, SR, anteroposterior/transverse ratio, degree of echogenicity, border, presence of calcification, and absence of halo sign ( P < 0.001). The elastic properties of thyroid nodules proved to be a good discriminator between malignant and benign nodules ( P- < 0.001) at a cut off value of > 2.32 with 95.2% sensitivity and 86.5% specificity. For every unit increase in SR, the risk of malignancy increased by nearly 2 times. Patients with irregular borders had nearly 17 times increased risk of malignancy than those with regular borders. Conclusion:: Elastography and SR proved to be of high significant value in discriminating benign from malignant nodules, so we recommend adding it to the TIRADS classification.",2020 Nov-Dec
4,"Head KJ,Harrington NG,Schnur JB,Margolies L,Montgomery GH",Examining gain- and loss-framed messages in a novel breast cancer screening/cardiovascular context: Does framing matter?,"Objective: Digital mammography can reveal not only breast cancer but also breast arterial calcification (BAC), which can indicate potential coronary artery disease. To explore ways to inform women of their BAC status in the context of a standard mammography results letter, we conducted a preliminary study comparing gain- and loss-framed messages to encourage follow-up cardiovascular care. Methods: U.S. women over age 40 with no heart disease history (N = 227) were randomly assigned to view a mammography letter including BAC information in one of seven ways (three gain-framed messages, three loss-framed messages, one comparison message). Results: Post-test measures indicated no significant differences on BAC knowledge, recall of test results and recommendations, perceived message effectiveness, or behavioral intentions for follow-up. Conclusion: Despite showing no significant differences between message conditions, results supported the messages' ability to clearly convey BAC information and encourage intention for follow-up cardiovascular care. Innovation: This experimental study represents the first published report examining the inclusion of BAC screening results within the mammography letter. It also explored the use of message framing in a dual detection–prevention context and suggests that future work should test the effects of including both framing tactics in messages designed to target dual-focus contexts.",2022 Dec
5,"Freedman BI,Register TC","Effect of race and genetics on vitamin D metabolism, bone and vascular health.","The pathophysiology of chronic kidney disease–mineral and bone disorder accounts for an inverse relationship between bone mineralization and vascular calcification in progressive nephropathy. Inverse associations between bone mineral density (BMD) and calcified atherosclerotic plaque are also observed in individuals of European and African ancestry without nephropathy, suggesting a mechanistic link between these processes that is independent of kidney disease. Despite lower dietary calcium intake and serum 25-hydroxyvitamin D (25(OH)D) concentrations, African Americans have higher BMD and develop osteoporosis less frequently than do European Americans. Moreover, despite having more risk factors for cardiovascular disease, African Americans have a lower incidence and severity of calcified atherosclerotic plaque formation than do European Americans. Strikingly, evidence is now revealing that serum 25(OH)D and/ or 1,25 dihydroxyvitamin D levels associate positively with atherosclerosis but negatively with BMD in African Americans; by contrast, vitamin D levels associate negatively with atherosclerosis and positively with BMD in individuals of European ancestry. Biologic phenomena, therefore, seem to contribute to population-specific differences in vitamin D metabolism, bone and vascular health. Genetic and mechanistic approaches used to explore these differences should further our understanding of bone–blood vessel relationships and explain how African ancestry protects from osteoporosis and calcified atherosclerotic plaque, provided that access of African Americans to health care is equivalent to individuals of European ethnic origin. Ultimately, in our opinion, a new mechanistic understanding of the relationships between bone mineralization and vascular calcification will produce novel approaches for disease prevention in aging populations.",2012 Jun 12
6,"Du T,Xie L,Zhang H,Liu X,Wang X,Chen D,Xu Y,Sun Z,Zhou W,Song L,Guan C,Lansky AJ,Xu B",Training and validation of a deep learning architecture for the automatic analysis of coronary angiography: Automatic recognition of coronary angiography.,"Background: In recent years, the use of deep learning has become more commonplace in the biomedical field and its development will greatly assist clinical and imaging data interpretation. Most existing machine learning methods for coronary angiography analysis are limited to a single aspect. Aims: We aimed to achieve an automatic and multimodal analysis to recognise and quantify coronary angiography, integrating multiple aspects, including the identification of coronary artery segments and the recognition of lesion morphology. Methods: A data set of 20,612 angiograms was retrospectively collected, among which 13,373 angiograms were labelled with coronary artery segments, and 7,239 were labelled with special lesion morphology. Trained and optimised by these labelled data, one network recognised 20 different segments of coronary arteries, while the other detected lesion morphology, including measures of lesion diameter stenosis as well as calcification, thrombosis, total occlusion, and dissection detections in an input angiogram. Results: For segment prediction, the recognition accuracy was 98.4%, and the recognition sensitivity was 85.2%. For detecting lesion morphologies including stenotic lesion, total occlusion, calcification, thrombosis, and dissection, the F1 scores were 0.829, 0.810, 0.802, 0.823, and 0.854, respectively. Only two seconds were needed for the automatic recognition. Conclusions: Our deep learning architecture automatically provides a coronary diagnostic map by integrating multiple aspects. This helps cardiologists to flag and diagnose lesion severity and morphology during the intervention.",2021 May
7,"Yang VS,Lim JQ,Tay TKY,Selvarajan S,Ng CCY,Farid M,Teh BT,Chan JY",Clinicopathologic Features and Whole Genome Sequencing of a Primary Osteosarcoma of the Uterus.,"Primary osteosarcoma (OS) of the uterus is a distinctly rare and aggressive disease with fewer than 20 cases reported worldwide. We describe a case of primary uterine OS with rapid development of pulmonary and brain metastasis in a 50-year-old woman. Histopathologic examination of the uterine tumor showed atypical spindle cells producing an osteoid matrix with calcification in keeping with OS. Despite initial response to doxorubicin and ifosfamide, the patient succumbed to brain metastases just 8 months from diagnosis. Whole genome sequencing was performed on tumor and blood samples to analyze genetic alterations in this highly aggressive tumor. A pathogenic somatic missense mutation resulting in substitution of glutamate for lysine at position 653 within the protein kinase domain of the platelet-derived growth factor receptor beta (PDGFRB) was found. The PDGF pathway is involved in cell proliferation and angiogenesis, and it has been implicated in malignancy. Crucially, this pathogenic mutation may be amenable to PDGFR tyrosine kinase inhibition, representing a possible treatment approach in this rare sarcoma.",2020 May
8,"Ali K,Lee DJ,Adamson DL,Khan JN",Radiation-induced dystrophic calcification and severe valvular stenosis: the central role of multimodality 3D cardiac imaging in disease assessment and planning of combined transcatheter aortic and mitral valve replacement.,"Cardiac disease after mediastinal radiotherapy can result in progressive valvular thickening and dystrophic calcification with ensuing leaflet restriction and dysfunction. This can ultimately manifest as valvular stenosis and/or regurgitation. We report a case of a 61-year-old woman with symptomatic severe aortic stenosis and severe mitral stenosis due to severe dystrophic calcification postmediastinal radiotherapy for lymphoma. She was deemed surgically inoperable due to dense, continuous calcification throughout the leaflets and annuli of both valves, aortomitral continuity, proximal coronary arteries and proximal porcelain aorta. She underwent simultaneous transcatheter aortic valve replacement and transcatheter mitral valve replacement with an excellent technical and clinical result at 7-month follow-up. We also describe the central role of multimodality three-dimensional transoesophageal echocardiography and multidetector cardiac CT imaging in assessing the severity of valve disease, characterising the nature of cardiac calcification and guiding decisions on surgical operability and transcatheter intervention.",2020
9,"Tokuhara CK,Santesso MR,de Oliveira GSN,Ventura TMda S,Doyama JT,Zambuzzi WF,de Oliveira RC",Updating the role of matrix metalloproteinases in mineralized tissue and related diseases.,"Bone development and healing processes involve a complex cascade of biological events requiring well-orchestrated synergism with bone cells, growth factors, and other trophic signaling molecules and cellular structures. Beyond health processes, MMPs play several key roles in the installation of heart and blood vessel related diseases and cancer, ranging from accelerating metastatic cells to ectopic vascular mineralization by smooth muscle cells in complementary manner. The tissue inhibitors of MMPs (TIMPs) have an important role in controlling proteolysis. Paired with the post-transcriptional efficiency of specific miRNAs, they modulate MMP performance. If druggable, these molecules are suggested to be a platform for development of “smart” medications and further clinical trials. Thus, considering the pleiotropic effect of MMPs on mammals, the purpose of this review is to update the role of those multifaceted proteases in mineralized tissues in health, such as bone, and pathophysiological disorders, such as ectopic vascular calcification and cancer.",0
10,"Lei J,Liu A,Ma Y,Shi G,Han F,Jiang W,Zhou Y,Zhang C,Liu Y,Huang X,Huang H,Chen J",Dexamethasone is Associated With a Lower Risk of the Progression of Thoracic Aortic Calcification in Breast Cancer Survivors.,"Background and Purpose: Breast cancer survivors have an increased cardiovascular risk, and vascular calcification is the pathological basis of cardiovascular disease. Some factors that affect the progression of thoracic aortic calcification (TAC) in survivors are unclear, and this study aims to explore the relationship between dexamethasone or radiotherapy and the progression of TAC in survivors.Materials and Methods: This study included 189 female patients with breast cancer, and they were divided into the progression and non-progression TAC groups. Radiation or dexamethasone doses, and related laboratory parameters were collected.Results: The cumulative dose of dexamethasone was higher [40 (10–180) mg versus 180 (80–270) mg, p < 0.001], and the cycle was longer [4 (1–6) cycles versus 6 (4–8) cycles, p < 0.001] in the non-progression TAC group. The cumulative dose (r = −0.303, p < 0.001) and cycle (r = −0.357, p < 0.001) of dexamethasone were negatively correlated with the level of increased TAC Agatston scores in survivors. Logistic regression analysis showed that dexamethasone was a protective factor for the progression of TAC (p = 0.029, odds ratio = 0.263, 95% confidence interval = 0.08–0.872). However, there wasn’t significant relationship between radiotherapy, radiation dose, follow-up time and the progression of TAC (all p > 0.05). In addition, aorta volume was positively correlated with the level of increased TAC Agatston scores in intensity modulated radiation therapy (r = 0.460, p < 0.001).Conclusion: Dexamethasone is associated with a lower risk of the progression of TAC in breast cancer survivors, and there’s no correlation between radiotherapy and progression of TAC, but the aorta volume may be a predictor of the severity of progression of TAC.",2021
